id,expense_date,marketplace_sku,expense_type,expense_amount
1194876,2026-07-02,3790061407,advertising_other,1.0
1194903,2026-07-02,3790062573,advertising_other,3.81
1194893,2026-07-02,3790064103,advertising_other,15.44
1194887,2026-07-02,3790064614,advertising_other,22.68
1194825,2026-07-02,3825052225,advertising_other,51.51
1216046,2026-07-03,1061062959,advertising_other,519.95
1216045,2026-07-03,1116114582,advertising_other,61.05
1216048,2026-07-03,1175225001,advertising_other,383.39
1216047,2026-07-03,1175230178,advertising_other,309.04
1242189,2026-07-04,1466847166,advertising_other,427.94
1242362,2026-07-04,1543281700,advertising_other,16.43
1241974,2026-07-04,1557195548,advertising_other,18.17
1242085,2026-07-04,2046728783,advertising_other,436.18
1241947,2026-07-04,2046728955,advertising_other,14.01
1242186,2026-07-04,2531294713,advertising_other,11.24
1242313,2026-07-04,2860134307,advertising_other,11.05
1242381,2026-07-04,3542373882,advertising_other,5.12
1242379,2026-07-04,3542376827,advertising_other,4.79
1242396,2026-07-04,3542404749,advertising_other,5.88
1242241,2026-07-04,3543927655,advertising_other,3.69
1242284,2026-07-04,3825055442,advertising_other,4.6
1242426,2026-07-04,997202660,advertising_other,47.93000000000001
1268287,2026-07-05,1444879766,advertising_other,10.83
1268500,2026-07-05,1665029324,advertising_other,297.91
1268231,2026-07-05,3119094016,advertising_other,19.55
1268596,2026-07-05,3563059663,advertising_other,19.65
1268514,2026-07-05,951328173,advertising_other,5.98
1294421,2026-07-06,1045776705,advertising_other,12.58
1418737,2026-07-06,1061062959,advertising_other,427.49
1418736,2026-07-06,1116114582,advertising_other,498.98
1294643,2026-07-06,1165690540,advertising_other,10.87
1418738,2026-07-06,1202312962,advertising_other,167.59
1347237,2026-07-06,1219891869,advertising_other,17.69
1294620,2026-07-06,1842432609,advertising_other,11.54
1294770,2026-07-06,1950378899,advertising_other,26.83
1445254,2026-07-06,3542395913,advertising_other,308.2
1392844,2026-07-06,3693195805,advertising_other,13.6
1369382,2026-07-06,3693196896,advertising_other,5.01
1294724,2026-07-06,3790059222,advertising_other,7.58
1294634,2026-07-06,3825053775,advertising_other,3.75
1294749,2026-07-06,4105141214,advertising_other,6.2
1418739,2026-07-06,997202925,advertising_other,470.09
1321142,2026-07-06,997203742,advertising_other,295.88
1392848,2026-07-06,997204337,advertising_other,1192.59
1294712,2026-07-06,997204518,advertising_other,8.57
1320588,2026-07-07,1175221871,advertising_other,37.230000000000004
1320530,2026-07-07,1269613903,advertising_other,11.52
1320517,2026-07-07,1543280950,advertising_other,10.66
1320907,2026-07-07,2568755321,advertising_other,6.08
1320851,2026-07-07,3790058408,advertising_other,6.8
1320749,2026-07-07,3790064512,advertising_other,1.0
1320867,2026-07-07,3790067361,advertising_other,4.92
1320832,2026-07-07,3825058385,advertising_other,15.39
1346936,2026-07-08,1219855831,advertising_other,15.51
1346778,2026-07-08,1383109964,advertising_other,5.85
1346568,2026-07-08,1428616698,advertising_other,17.66
1346913,2026-07-08,3825054393,advertising_other,5.8
1366944,2026-07-09,1502339813,advertising_other,3.98
1367357,2026-07-09,3542357595,advertising_other,4.88
1367345,2026-07-09,3543776787,advertising_other,16.3
1367385,2026-07-09,3543879445,advertising_other,21.28
1367194,2026-07-09,3543927628,advertising_other,5.64
1367191,2026-07-09,3543927655,advertising_other,13.76
1367364,2026-07-09,3552488708,advertising_other,22.310000000000002
1367271,2026-07-09,3790061010,advertising_other,8.06
1367383,2026-07-09,3790065909,advertising_other,7.14
1367314,2026-07-09,3825053494,advertising_other,20.01
1367316,2026-07-09,3825053663,advertising_other,12.19
1367356,2026-07-09,4105142098,advertising_other,14.38
1367309,2026-07-09,989347165,advertising_other,5.38
1367423,2026-07-09,997202925,advertising_other,289.65
1368920,2026-07-10,1543281625,advertising_other,11.73
1368776,2026-07-10,3256176520,advertising_other,43.5
1369039,2026-07-10,3542170568,advertising_other,31.29
1369031,2026-07-10,3542394603,advertising_other,9.59
